emage_id,assay_type,probe_id,name,strain,type,theilerstage,dpc
1136,in situ,MGI:2663240,emage,CD1,wholemount,17,10.5 dpc
1137,in situ,MGI:685177,emage,CD1,wholemount,17,10.5 dpc
1138,in situ,MGI:685177,emage,CD1,wholemount,15,9.5 dpc
1139,in situ,MGI:203957,emage,CD1,wholemount,15,9.5 dpc
1140,in situ,MGI:2662991,emage,CD1,wholemount,17,10.5 dpc
1141,in situ,MGI:2663646,emage,CD1,wholemount,18,10.5 dpc
1142,in situ,MGI:2663646,emage,CD1,wholemount,16,9.5 dpc
1143,in situ,MGI:2663745,emage,CD1,wholemount,18,10.5 dpc
1144,in situ,MGI:2663745,emage,CD1,wholemount,15,9.5 dpc
1145,in situ,MGI:2662991,emage,CD1,wholemount,15,9.5 dpc
1146,in situ,MGI:662049,emage,CD1,wholemount,15,9.5 dpc
1147,in situ,MGI:2663748,emage,CD1,wholemount,16,10.5 dpc
1148,in situ,MGI:2663748,emage,CD1,wholemount,15,9.5 dpc
1149,in situ,MGI:2663798,emage,CD1,wholemount,17,10.5 dpc
1150,in situ,MGI:2663798,emage,CD1,wholemount,15,9.5 dpc
1151,in situ,MGI:2664183,emage,CD1,wholemount,17,10.5 dpc
1152,in situ,MGI:2664183,emage,CD1,wholemount,15,9.5 dpc
1153,in situ,MGI:2663884,emage,CD1,wholemount,17,10.5 dpc
1154,in situ,MGI:2663884,emage,CD1,wholemount,15,9.5 dpc
1155,in situ,MGI:2663117,emage,CD1,wholemount,16,10.5 dpc
1156,in situ,MGI:1416589,emage,CD1,wholemount,15,9.5 dpc
1157,in situ,MGI:674313,emage,CD1,wholemount,17,10.5 dpc
1158,in situ,MGI:674313,emage,CD1,wholemount,15,9.5 dpc
1159,in situ,MGI:2663167,emage,CD1,wholemount,17,10.5 dpc
1160,in situ,MGI:2663167,emage,CD1,wholemount,14,9.5 dpc
1161,in situ,MGI:975798,emage,CD1,wholemount,15,9.5 dpc
1162,in situ,MGI:2663109,emage,CD1,wholemount,17,10.5 dpc
1163,in situ,MGI:2663109,emage,CD1,wholemount,15,9.5 dpc
1164,in situ,MGI:296495,emage,CD1,wholemount,18,10.5 dpc
1165,in situ,MGI:296495,emage,CD1,wholemount,15,9.5 dpc
1166,in situ,MGI:263910,emage,CD1,wholemount,17,10.5 dpc
1167,in situ,MGI:263910,emage,CD1,wholemount,15,9.5 dpc
1168,in situ,MGI:632622,emage,CD1,wholemount,17,10.5 dpc
1169,in situ,MGI:632622,emage,CD1,wholemount,15,9.5 dpc
1170,in situ,MGI:2662993,emage,CD1,wholemount,18,10.5 dpc
1171,in situ,MGI:2662993,emage,CD1,wholemount,15,9.5 dpc
1172,in situ,MGI:2663954,emage,CD1,wholemount,18,10.5 dpc
1173,in situ,MGI:2663954,emage,CD1,wholemount,15,9.5 dpc
1174,in situ,MGI:2663850,emage,CD1,wholemount,17,10.5 dpc
1175,in situ,MGI:2663850,emage,CD1,wholemount,15,9.5 dpc
1176,in situ,MGI:2663870,emage,CD1,wholemount,17,10.5 dpc
1177,in situ,MGI:2663870,emage,CD1,wholemount,15,9.5 dpc
1178,in situ,MGI:2663880,emage,CD1,wholemount,17,10.5 dpc
1179,in situ,MGI:2663880,emage,CD1,wholemount,15,9.5 dpc
1180,in situ,MGI:2663869,emage,CD1,wholemount,17,10.5 dpc
1181,in situ,MGI:2663869,emage,CD1,wholemount,15,9.5 dpc
1182,in situ,MGI:2664145,emage,CD1,wholemount,17,10.5 dpc
1183,in situ,MGI:2664145,emage,CD1,wholemount,14,9.5 dpc
1184,in situ,MGI:2663099,emage,CD1,wholemount,18,postnatal newborn
1185,in situ,MGI:2663099,emage,CD1,wholemount,15,9.5 dpc
1186,in situ,MGI:2663072,emage,CD1,wholemount,17,10.5 dpc
1187,in situ,MGI:2663072,emage,CD1,wholemount,15,9.5 dpc
1188,in situ,MGI:2663873,emage,CD1,wholemount,17,10.5 dpc
1189,in situ,MGI:2663873,emage,CD1,wholemount,15,9.5 dpc
1190,in situ,MGI:648477,emage,CD1,wholemount,16,10.5 dpc
1191,in situ,MGI:648477,emage,CD1,wholemount,15,9.5 dpc
1192,in situ,MGI:2663754,emage,CD1,wholemount,17,10.5 dpc
1193,in situ,MGI:2663754,emage,CD1,wholemount,15,9.5 dpc
