Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
mammary gland	EMAPA:17759	TS21	TS28	mammary gland connective tissue	EMAPA:35537	TS28	TS27
mammillary body	EMAPA:35542	TS27	TS28	supramammillary nucleus	EMAPA:35842	TS28	TS27
mammillary body	EMAPA:35542	TS27	TS28	medial mammillary nucleus	EMAPA:35548	TS28	TS27
mammillary body	EMAPA:35542	TS27	TS28	tuberomammillary nucleus	EMAPA:35889	TS28	TS27
mammillary body	EMAPA:35542	TS27	TS28	lateral mammillary nucleus	EMAPA:35481	TS28	TS27
mandible	EMAPA:18290	TS21	TS28	mandibular canal	EMAPA:19161	TS26	TS25
mandible	EMAPA:18290	TS21	TS28	mandible ramus	EMAPA:25100	TS28	TS21
mandible	EMAPA:18290	TS21	TS28	mandible mesenchyme	EMAPA:17912	TS21	TS21
mandible primordium	EMAPA:17356	TS19	TS20	mandible primordium alveolar sulcus	EMAPA:17636	TS20	TS20
mandibular process	EMAPA:17355	TS19	TS20	Meckel's cartilage	EMAPA:17635	TS28	TS20
mandibular process	EMAPA:17355	TS19	TS20	mandible primordium	EMAPA:17356	TS20	TS19
mandibular process	EMAPA:17355	TS19	TS20	mandibular process mesenchyme	EMAPA:17357	TS20	TS19
mandibular process mesenchyme	EMAPA:17357	TS19	TS20	Meckel's cartilage pre-cartilage condensation	EMAPA:17358	TS19	TS19
mature nephron	EMAPA:28491	TS25	TS28	cortical renal tubule	EMAPA:18976	TS28	TS22
mature nephron	EMAPA:28491	TS25	TS28	mature renal corpuscle	EMAPA:28236	TS28	TS25
mature nephron	EMAPA:28491	TS25	TS28	loop of Henle group	EMAPA:19280	TS28	TS25
mature renal corpuscle	EMAPA:28236	TS25	TS28	glomerular tuft	EMAPA:28239	TS28	TS25
mature renal corpuscle	EMAPA:28236	TS25	TS28	extraglomerular mesangium	EMAPA:28278	TS28	TS25
mature renal corpuscle	EMAPA:28236	TS25	TS28	efferent arteriole	EMAPA:28275	TS28	TS25
mature renal corpuscle	EMAPA:28236	TS25	TS28	afferent arteriole of mature renal corpuscle	EMAPA:28266	TS28	TS25
mature renal corpuscle	EMAPA:28236	TS25	TS28	Bowman's capsule of mature renal corpuscle	EMAPA:28257	TS28	TS25
maturing glomerular tuft	EMAPA:27949	TS22	TS28	glomerular capillary system of maturing glomerular tuft	EMAPA:27955	TS28	TS22
maturing glomerular tuft	EMAPA:27949	TS22	TS28	visceral epithelium of maturing renal corpuscle	EMAPA:27967	TS28	TS22
maturing glomerular tuft	EMAPA:27949	TS22	TS28	glomerular mesangium of maturing glomerular tuft	EMAPA:27961	TS27	TS22
maturing glomerular tuft	EMAPA:27949	TS22	TS28	glomerular basement membrane	EMAPA:30965	TS27	TS22
maturing nephron	EMAPA:28485	TS22	TS28	maturing renal corpuscle	EMAPA:27943	TS28	TS22
maturing nephron	EMAPA:28485	TS22	TS28	cortical renal tubule	EMAPA:18976	TS28	TS22
maturing renal corpuscle	EMAPA:27943	TS22	TS28	maturing glomerular tuft	EMAPA:27949	TS28	TS22
maturing renal corpuscle	EMAPA:27943	TS22	TS28	Bowman's capsule of maturing renal corpuscle	EMAPA:27973	TS27	TS22
maturing renal corpuscle	EMAPA:27943	TS22	TS28	juxtaglomerular arteriole	EMAPA:27991	TS27	TS22
maxillary process	EMAPA:17359	TS19	TS20	maxillary process alveolar sulcus	EMAPA:17640	TS20	TS20
maxillary process	EMAPA:17359	TS19	TS20	premaxilla	EMAPA:17641	TS28	TS20
maxillary process	EMAPA:17359	TS19	TS20	maxilla primordium	EMAPA:17360	TS19	TS19
maxillary process	EMAPA:17359	TS19	TS20	maxillary process skeleton	EMAPA:17638	TS20	TS20
maxillary process	EMAPA:17359	TS19	TS20	maxillary process mesenchyme	EMAPA:17361	TS20	TS19
maxillary process	EMAPA:17359	TS19	TS20	maxillary process epithelium	EMAPA:17637	TS20	TS20
maxillary process	EMAPA:17359	TS19	TS20	palatal shelf	EMAPA:17362	TS23	TS19
maxillary process skeleton	EMAPA:17638	TS20	TS20	maxilla	EMAPA:17639	TS28	TS20
medial preoptic region	EMAPA:35550	TS27	TS28	medial preoptic nucleus	EMAPA:35549	TS28	TS27
medial septal complex	EMAPA:35552	TS27	TS28	medial septal nucleus	EMAPA:35553	TS28	TS27
medial septal complex	EMAPA:35552	TS27	TS28	nucleus of diagonal band	EMAPA:35598	TS28	TS27
medial-nasal process	EMAPA:16808	TS16	TS20	medial-nasal process mesenchyme	EMAPA:16810	TS20	TS16
medial-nasal process	EMAPA:16808	TS16	TS20	medial-nasal process epithelium	EMAPA:17611	TS20	TS20
medial-nasal process	EMAPA:16808	TS16	TS20	medial-nasal process ectoderm	EMAPA:16809	TS19	TS16
median lingual swelling	EMAPA:17187	TS18	TS20	median lingual swelling mesenchyme	EMAPA:17192	TS20	TS18
median lingual swelling	EMAPA:17187	TS18	TS20	median lingual swelling epithelium	EMAPA:17188	TS20	TS18
mediastinum	EMAPA:36001	TS16	TS28	mediastinal lymph node	EMAPA:35555	TS28	TS28
medulla oblongata	EMAPA:17550	TS20	TS28	medulla oblongata floor plate	EMAPA:17551	TS26	TS20
medulla oblongata	EMAPA:17550	TS20	TS28	raphe magnus nucleus	EMAPA:35720	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	cuneate nucleus	EMAPA:35268	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	gigantocellular reticular nucleus	EMAPA:35378	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	medial vestibular nucleus	EMAPA:35554	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	hypoglossal XII nucleus	EMAPA:35416	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	medulla oblongata lateral wall	EMAPA:17552	TS28	TS20
medulla oblongata	EMAPA:17550	TS20	TS28	spinal vestibular nucleus	EMAPA:35797	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	area postrema	EMAPA:35143	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	medulla oblongata roof	EMAPA:17562	TS26	TS20
medulla oblongata	EMAPA:17550	TS20	TS28	raphe pallidus nucleus	EMAPA:35722	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	dorsal motor nucleus of vagus X nerve	EMAPA:35291	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	nucleus ambiguus	EMAPA:35596	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	solitary tract nucleus	EMAPA:35787	TS28	TS27
medulla oblongata	EMAPA:17550	TS20	TS28	lateral reticular nucleus	EMAPA:35484	TS28	TS27
medulla oblongata alar plate	EMAPA:17553	TS20	TS26	medulla oblongata alar plate marginal layer	EMAPA:17555	TS26	TS20
medulla oblongata alar plate	EMAPA:17553	TS20	TS26	medulla oblongata alar plate mantle layer	EMAPA:17554	TS26	TS20
medulla oblongata alar plate	EMAPA:17553	TS20	TS26	medulla oblongata alar plate ventricular layer	EMAPA:17556	TS26	TS20
medulla oblongata basal plate	EMAPA:17557	TS20	TS28	medulla oblongata basal plate ventricular layer	EMAPA:17560	TS26	TS20
medulla oblongata basal plate	EMAPA:17557	TS20	TS28	medullary raphe	EMAPA:18553	TS26	TS23
medulla oblongata basal plate	EMAPA:17557	TS20	TS28	medulla oblongata basal plate marginal layer	EMAPA:17559	TS23	TS20
medulla oblongata basal plate	EMAPA:17557	TS20	TS28	medulla oblongata rest of basal plate	EMAPA:18786	TS28	TS24
medulla oblongata basal plate	EMAPA:17557	TS20	TS28	medulla oblongata basal plate mantle layer	EMAPA:17558	TS23	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata sulcus limitans	EMAPA:17561	TS26	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata ventricular layer	EMAPA:32851	TS26	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata alar plate	EMAPA:17553	TS26	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata basal plate	EMAPA:17557	TS28	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata marginal layer	EMAPA:32852	TS26	TS20
medulla oblongata lateral wall	EMAPA:17552	TS20	TS28	medulla oblongata mantle layer	EMAPA:32848	TS26	TS20
medulla oblongata rest of basal plate	EMAPA:18786	TS24	TS28	medulla oblongata rest of basal plate ventricular layer	EMAPA:18789	TS26	TS24
medulla oblongata rest of basal plate	EMAPA:18786	TS24	TS28	medulla oblongata rest of basal plate mantle layer	EMAPA:18787	TS26	TS24
medulla oblongata rest of basal plate	EMAPA:18786	TS24	TS28	inferior olivary nucleus	EMAPA:19241	TS28	TS26
medulla oblongata rest of basal plate	EMAPA:18786	TS24	TS28	medulla oblongata rest of basal plate marginal layer	EMAPA:18788	TS26	TS24
medulla oblongata roof	EMAPA:17562	TS20	TS26	medulla oblongata part of 4th ventricle choroid plexus	EMAPA:19074	TS26	TS20
medullary raphe	EMAPA:18553	TS23	TS26	medullary raphe ventricular layer	EMAPA:18792	TS26	TS24
medullary raphe	EMAPA:18553	TS23	TS26	medullary raphe mantle layer	EMAPA:18790	TS26	TS24
medullary raphe	EMAPA:18553	TS23	TS26	medullary raphe marginal layer	EMAPA:18791	TS26	TS24
medullary renal tubule	EMAPA:31414	TS22	TS24	bend of immature loop of Henle	EMAPA:31021	TS24	TS22
medullary renal tubule	EMAPA:31414	TS22	TS24	straight limb of immature loop of Henle	EMAPA:31017	TS24	TS22
medullary reticular formation	EMAPA:35556	TS27	TS28	lateral medullary reticular formation	EMAPA:35482	TS28	TS28
meiotic oocyte	EMAPA:31025	TS24	TS28	secondary oocyte	EMAPA:35755	TS28	TS24
meiotic oocyte	EMAPA:31025	TS24	TS28	primary oocyte	EMAPA:35705	TS28	TS24
meninges	EMAPA:32660	TS21	TS28	pia mater	EMAPA:32663	TS28	TS21
meninges	EMAPA:32660	TS21	TS28	arachnoid mater	EMAPA:32659	TS28	TS21
meninges	EMAPA:32660	TS21	TS28	dura mater	EMAPA:32664	TS28	TS21
mesenchymal layer of dorsal pelvic urethra of female	EMAPA:31554	TS23	TS28	lamina propria of dorsal pelvic urethra of female	EMAPA:32296	TS28	TS25
mesenchymal layer of dorsal pelvic urethra of female	EMAPA:31554	TS23	TS28	submucosa of dorsal pelvic urethra of female	EMAPA:32313	TS28	TS25
mesenchymal layer of dorsal pelvic urethra of female	EMAPA:31554	TS23	TS28	muscularis mucosa of dorsal pelvic urethra of female	EMAPA:32295	TS28	TS25
mesenchymal layer of dorsal pelvic urethra of male	EMAPA:31552	TS23	TS28	submucosa of dorsal pelvic urethra of male	EMAPA:32293	TS28	TS25
mesenchymal layer of dorsal pelvic urethra of male	EMAPA:31552	TS23	TS28	muscularis mucosa of dorsal pelvic urethra of male	EMAPA:32312	TS28	TS25
