id,name,accession
686,Hmgb2,MGI:96157
687,Lmo2,MGI:102811
688,Meox2,MGI:103219
689,Tmpo,MGI:106920
690,Tceal8,MGI:1913934
691,Phf23,MGI:1925496
692,Taf1,MGI:1336878
693,Trim28,MGI:109274
694,Trp53,MGI:98834
695,Rnpc1,Rnpc1
696,Zfp329,MGI:1921283
697,Bhlhe23,MGI:2153710
698,Cited4,MGI:1861694
699,Cnot2,MGI:1919318
700,Egr1,MGI:95295
701,Fosl1,MGI:107179
702,Foxm1,MGI:1347487
703,Hdac3,MGI:1343091
704,Junb,MGI:96647
705,Neurod6,MGI:106593
706,Neurog2,MGI:109619
707,Nfya,MGI:97316
708,Nfyc,MGI:107901
709,Nkx2-5,MGI:97350
710,Npas2,MGI:109232
711,Nrip1,MGI:1315213
712,Nrip2,MGI:1891884
713,Sertad1,MGI:1913438
714,Snw1,MGI:1913604
715,Trip6,MGI:1343458
716,Tle6,MGI:2149593
717,Med6,MGI:1917042
718,Mycn,MGI:97357
719,Tshz1,MGI:1346031
720,Smarca4,MGI:88192
721,Nr1h4,MGI:1352464
722,Rbfox2,MGI:1933973
723,Tardbp,MGI:2387629
724,Creb3l4,MGI:1916603
725,Nr0b1,MGI:1352460
726,Irx5,MGI:1859086
727,Meis1,MGI:104717
728,Pax1,MGI:97485
729,Polr2h,MGI:2384309
730,Rfxap,MGI:2180854
731,Snai2,MGI:1096393
732,Sarnp,MGI:1913368
733,Fosl2,MGI:102858
734,Hoxb5,MGI:96186
735,Nfatc4,MGI:1920431
736,Nr4a2,MGI:1352456
737,Thrap3,MGI:2442637
738,Zbtb16,MGI:103222
739,Pole3,MGI:1933378
740,Tsc22d4,MGI:1926079
741,Rab1b,MGI:1923558
742,Ints12,MGI:1919043
743,Bola2,MGI:1913412
744,Rnf5,MGI:1860076
745,Zfp647,MGI:3052806
746,Eed,MGI:95286
747,Nfe2l3,MGI:1339958
748,Rsrc1,MGI:1914130
749,Gtf3c2,MGI:1919002
750,Tysnd1,MGI:1919017
751,Zfp707,MGI:1916270
752,Zfp654,MGI:1919270
753,Hmgb4,MGI:1916567
754,Zdhhc25,MGI:1917323
755,Prox2,MGI:1920672
756,Mib2,MGI:2679684
757,Zfp846,MGI:1924012
758,Med8,MGI:1915269
759,Zfp524,MGI:1916740
760,Mtfmt,MGI:1916856
761,Pir,MGI:1916906
762,Dusp26,MGI:1914209
763,Pwp1,MGI:1914735
764,Rassf7,MGI:1914235
765,1300018I17Rik,MGI:1914143
766,Mri1,MGI:1915123
767,Zbtb8a,MGI:1920930
768,2410141K09Rik,MGI:1924053
769,Pygo1,MGI:1919385
770,Htatsf1,MGI:1919709
771,Zfp748,MGI:1916455
772,Pbrm1,MGI:1923998
773,Duxbl1,MGI:1916048
774,Ankrd46,MGI:1916089
775,Zfp869,MGI:1914119
