emage_id,type,probe_id,source_id,specimen_id,stage_id
548,in situ,MGI:1275945,2,66,155
549,in situ,MGI:1197233,2,145,24967
550,in situ,MGI:1334279,2,135,26932
551,in situ,MGI:1334279,2,146,26943
552,in situ,MGI:1197090,2,124,700
553,in situ,MGI:10697,2,1,300
554,in situ,MGI:2678346,1,128,300
555,in situ,MGI:2678346,1,128,711
556,in situ,MGI:267834,1,128,267
557,in situ,MGI:2678378,2,1,155
558,in situ,MGI:20954,2,17,700
559,in situ,MGI:9297,2,17,2726
560,in situ,MGI:2678245,2,1,199
561,in situ,MGI:2678296,2,1,165
562,in situ,MGI:2449092,2,2,300
563,in situ,MGI:2678296,2,1,2
564,in situ,MGI:1333124,2,124,300
565,in situ,MGI:2678346,1,17,267
566,in situ,MGI:2678346,1,17,300
567,in situ,MGI:2678346,1,17,689
568,in situ,MGI:1334838,2,124,155
569,in situ,MGI:2678373,2,139,300
570,in situ,MGI:2155348,2,128,267
571,in situ,MGI:15970,2,17,521
572,in situ,MGI:1309863,2,1,221
573,in situ,MGI:1351845,2,1,27182
574,in situ,MGI:9015,2,1,2691
575,in situ,MGI:1355101,2,1,689
576,in situ,MGI:1345258,2,25,155
577,in situ,MGI:1345258,2,25,165
578,in situ,MGI:1346803,2,19,700
579,in situ,MGI:1330181,2,1,700
580,in situ,MGI:1330181,2,1,700
581,in situ,MGI:1330181,2,1,24452
582,in situ,MGI:1330181,2,1,278
583,in situ,MGI:1330181,2,1,165
584,in situ,MGI:1338390,2,147,2793
585,in situ,MGI:25912,2,142,155
586,in situ,MGI:1346396,2,38,155
587,in situ,MGI:192875,2,17,155
588,in situ,MGI:1928758,2,17,155
589,in situ,MGI:1928758,2,17,165
590,in situ,MGI:1928758,2,17,155
591,in situ,MGI:1859342,2,29,700
592,in situ,MGI:2149799,2,1,155
593,in situ,MGI:1336665,2,113,4099
594,in situ,MGI:1336665,2,113,165
595,in situ,MGI:1336665,2,113,155
596,in situ,MGI:2179830,2,1,4455
597,in situ,MGI:2179830,2,1,267
598,in situ,MGI:2179830,2,1,444
599,in situ,MGI:2179832,2,1,444
600,in situ,AFP probe1,1,1,15156
601,in situ,AFP probeA,1,1,300
602,in situ,MGI:9015,1,1,655
603,in situ,Cer1 cloneA,1,1,300
604,in situ,Bmp4 cloneA,1,1,267
605,in situ,Hhex cloneA,1,1,389
606,in situ,Sox1 cloneA,1,1,27554
607,in situ,Sox1 cloneA,1,1,27423
608,in situ,T cloneA,1,1,33
609,in situ,Nkx2-5 cloneA,1,1,54
610,in situ,Otx2 cloneA,1,1,655
611,in situ,Otx2 cloneA,1,1,27554
612,in situ,Otx2 cloneA,1,1,13517
613,in situ,Pax2 cloneA,1,1,18059
614,in situ,MGI:1202170,1,1,502
615,in situ,MGI:1202170,1,1,18059
616,in situ,MGI:1202170,1,1,300
617,in situ,MGI:1202170,1,1,24673
618,in situ,MGI:1202170,1,1,267
619,in situ,Bmp7 probeA,1,1,421
620,in situ,Bmp7 probeA,1,1,23270
621,in situ,Bmp7 probeA,1,1,54
622,in situ,Bmp7 probeA,1,1,110
623,in situ,Bmp7 probeA,1,1,13739
624,in situ,Bmp7 probeA,1,1,27554
625,in situ,MGI:19210,1,1,27423
626,in situ,MGI:19210,1,1,421
627,in situ,MGI:1101193,1,1,27423
628,in situ,MGI:14954,1,1,27423
629,in situ,MGI:11030,1,1,15156
630,in situ,MGI:11030,1,1,655
631,in situ,MGI:11030,1,1,24617
632,in situ,Hesx1 cloneA,1,1,655
633,in situ,Hesx1 cloneA,1,4,27554
634,in situ,MGI:1328386,2,1,221
635,in situ,MGI:1334951,2,1,221
636,in situ,MGI:1932907,2,1,221
637,in situ,MGI:1338392,2,136,524
638,in situ,MGI:1328383,2,1,221
639,in situ,MGI:1328416,2,148,300
640,in situ,MGI:1328416,2,148,165
641,in situ,MGI:2152047,2,1,1056
642,in situ,MGI:2157325,2,1,199
643,in situ,MGI:1309770,2,124,23270
644,in situ,MGI:21330,2,136,666
645,in situ,MGI:12837,2,149,1
646,in situ,MGI:12837,2,149,1
647,in situ,MGI:1197233,2,40,155
648,in situ,MGI:2447759,2,17,2
649,in situ,MGI:1101195,2,136,155
650,in situ,MGI:1101195,2,136,155
651,in situ,MGI:1101195,2,2,221
652,in situ,MGI:1349602,2,1,1771
653,in situ,MGI:12837,2,149,199
654,in situ,MGI:1328385,2,17,5553
655,in situ,MGI:17719,1,17,90
656,in situ,MGI:2157812,2,17,25106
657,in situ,MGI:17265,2,47,402
658,in situ,MGI:9296,2,40,2
659,in situ,MGI:1276127,2,1,666
660,in situ,MGI:32571,2,1,199
661,in situ,MGI:2681244,2,28,267
662,in situ,MGI:17266,2,66,444
663,in situ,MGI:17266,2,66,3211
664,in situ,MGI:2677387,2,1,20834
665,in situ,MGI:1289467,2,1,236
666,in situ,MGI:13123,2,17,155
667,in situ,MGI:1331694,2,150,155
668,in situ,MGI:2158673,2,6,155
669,in situ,MGI:1342952,2,151,165
670,in situ,MGI:2149627,2,1,165
671,in situ,MGI:1101192,2,1,20834
672,in situ,Sox10 probeB,1,152,1021
673,in situ,MGI:8893,2,17,155
674,in situ,MGI:1315062,2,1,689
675,in situ,MGI:1315062,2,1,28322
676,in situ,MGI:1315062,2,17,155
677,in situ,MGI:1315062,2,1,155
678,in situ,MGI:1332544,2,17,3
679,in situ,MGI:28631,2,1,165
680,in situ,MGI:23832,2,1,155
681,in situ,MGI:23832,2,1,165
682,in situ,MGI:23832,2,1,700
683,in situ,MGI:23832,2,124,165
684,in situ,MGI:1334976,2,17,15156
685,in situ,MGI:1334976,2,17,25112
686,in situ,MGI:1335832,2,28,300
687,in situ,MGI:1313346,2,17,165
688,in situ,MGI:1202629,2,153,90
689,in situ,MGI:1202629,2,153,165
690,in situ,MGI:1313347,2,17,165
691,in situ,MGI:2676163,2,17,1
692,in situ,MGI:2155222,2,1,689
693,in situ,MGI:2155222,2,1,245
694,in situ,MGI:2155221,2,1,155
695,in situ,MGI:2155219,2,17,20631
696,in situ,MGI:1346567,2,1,8325
697,in situ,MGI:17266,2,66,2937
698,in situ,MGI:2449091,2,1,4455
699,in situ,MGI:2449091,2,1,267
700,in situ,MGI:2449092,2,113,28599
701,in situ,MGI:1336665,2,113,389
702,in situ,MGI:2449092,2,28,267
703,in situ,MGI:2449091,2,1,24918
704,in situ,MGI:2179832,2,1,389
705,in situ,MGI:1336665,2,19,389
706,in situ,MGI:18239,2,2,28665
707,in situ,MGI:1929240,2,1,155
