Theirler Stage	Accession	Annotation	Data Source	Assay Type	Probe Accession	User Stage	Gene Symbol	Specimen Type	Specimen Strain
TS17	EMAGE:2873	wholemount spatial annotation	emage	in situ	MGI:3507379	10.5 dpc	Obox6	wholemount	C57BL
TS19	EMAGE:28708	only anatomy term annotation	embrys	in situ	EMBRYS:Hoxc9	11.5dpc	Hoxc9	wholemount	ICR
TS19	EMAGE:28709	only anatomy term annotation	embrys	in situ	EMBRYS:Htatip2	11.5dpc	Htatip2	wholemount	ICR
TS17	EMAGE:2871	wholemount spatial annotation	emage	in situ	MGI:3507088	10.5 dpc	Obox4	wholemount	C57BL
TS19	EMAGE:28710	only anatomy term annotation	embrys	in situ	EMBRYS:Ifi204	11.5dpc	Ifi204	wholemount	ICR
TS19	EMAGE:28711	only anatomy term annotation	embrys	in situ	EMBRYS:Ildr1	11.5dpc	Ildr1	wholemount	ICR
TS19	EMAGE:28735	only anatomy term annotation	embrys	in situ	EMBRYS:Lef1	11.5dpc	Lef1	wholemount	ICR
TS19	EMAGE:28736	only anatomy term annotation	embrys	in situ	EMBRYS:Lhx1	11.5dpc	Lhx1	wholemount	ICR
TS19	EMAGE:28737	only anatomy term annotation	embrys	in situ	EMBRYS:Lhx5	11.5dpc	Lhx5	wholemount	ICR
TS19	EMAGE:28738	only anatomy term annotation	embrys	in situ	EMBRYS:Lhx8	11.5dpc	Lhx8	wholemount	ICR
TS19	EMAGE:28739	only anatomy term annotation	embrys	in situ	EMBRYS:Limd1	11.5dpc	Limd1	wholemount	ICR
TS18	EMAGE:2874	wholemount spatial annotation	emage	in situ	MGI:3507379	10.5 dpc	Obox6	wholemount	C57BL
TS19	EMAGE:28740	only anatomy term annotation	embrys	in situ	EMBRYS:Lmo1	11.5dpc	Lmo1	wholemount	ICR
TS19	EMAGE:28741	only anatomy term annotation	embrys	in situ	EMBRYS:Lmo3	11.5dpc	Lmo3	wholemount	ICR
TS19	EMAGE:28742	only anatomy term annotation	embrys	in situ	EMBRYS:Lrrc6	11.5dpc	Lrrc6	wholemount	ICR
TS19	EMAGE:28743	only anatomy term annotation	embrys	in situ	EMBRYS:Lsm11	11.5dpc	Lsm11	wholemount	ICR
TS19	EMAGE:28744	only anatomy term annotation	embrys	in situ	EMBRYS:Mxd1	11.5dpc	Mxd1	wholemount	ICR
TS19	EMAGE:28745	only anatomy term annotation	embrys	in situ	EMBRYS:Mxd4	11.5dpc	Mxd4	wholemount	ICR
TS19	EMAGE:28746	only anatomy term annotation	embrys	in situ	EMBRYS:Smad2	11.5dpc	Smad2	wholemount	ICR
TS19	EMAGE:28747	only anatomy term annotation	embrys	in situ	EMBRYS:Smad5	11.5dpc	Smad5	wholemount	ICR
TS19	EMAGE:28748	only anatomy term annotation	embrys	in situ	EMBRYS:Smad6	11.5dpc	Smad6	wholemount	ICR
TS19	EMAGE:28749	only anatomy term annotation	embrys	in situ	EMBRYS:Mafk	11.5dpc	Mafk	wholemount	ICR
TS17	EMAGE:2875	wholemount spatial annotation	emage	in situ	MGI:3507089	10.5 dpc	Pbx4	wholemount	C57BL
TS19	EMAGE:28750	only anatomy term annotation	embrys	in situ	EMBRYS:Maged1	11.5dpc	Maged1	wholemount	ICR
TS19	EMAGE:28751	only anatomy term annotation	embrys	in situ	EMBRYS:Maml1	11.5dpc	Maml1	wholemount	ICR
TS19	EMAGE:28752	only anatomy term annotation	embrys	in situ	EMBRYS:Map3k12	11.5dpc	Map3k12	wholemount	ICR
TS19	EMAGE:28730	only anatomy term annotation	embrys	in situ	EMBRYS:L3mbtl2	11.5dpc	L3mbtl2	wholemount	ICR
TS19	EMAGE:28731	only anatomy term annotation	embrys	in situ	EMBRYS:Lass2	11.5dpc	Lass2	wholemount	ICR
TS19	EMAGE:28732	only anatomy term annotation	embrys	in situ	EMBRYS:Lass4	11.5dpc	Lass4	wholemount	ICR
TS19	EMAGE:28733	only anatomy term annotation	embrys	in situ	EMBRYS:Lass5	11.5dpc	Lass5	wholemount	ICR
TS19	EMAGE:28734	only anatomy term annotation	embrys	in situ	EMBRYS:Lass6	11.5dpc	Lass6	wholemount	ICR
TS19	EMAGE:28758	only anatomy term annotation	embrys	in situ	EMBRYS:Mef2c	11.5dpc	Mef2c	wholemount	ICR
TS19	EMAGE:28759	only anatomy term annotation	embrys	in situ	EMBRYS:Mef2d	11.5dpc	Mef2d	wholemount	ICR
TS18	EMAGE:2876	wholemount spatial annotation	emage	in situ	MGI:3507089	10.5 dpc	Pbx4	wholemount	C57BL
TS19	EMAGE:28760	only anatomy term annotation	embrys	in situ	EMBRYS:Meox1	11.5dpc	Meox1	wholemount	ICR
TS19	EMAGE:28761	only anatomy term annotation	embrys	in situ	EMBRYS:Bhlha15	11.5dpc	Bhlha15	wholemount	ICR
TS19	EMAGE:28762	only anatomy term annotation	embrys	in situ	EMBRYS:Mitf	11.5dpc	Mitf	wholemount	ICR
TS19	EMAGE:28763	only anatomy term annotation	embrys	in situ	EMBRYS:Mnat1	11.5dpc	Mnat1	wholemount	ICR
TS19	EMAGE:28764	only anatomy term annotation	embrys	in situ	EMBRYS:Msl3	11.5dpc	Msl3	wholemount	ICR
TS19	EMAGE:28765	only anatomy term annotation	embrys	in situ	EMBRYS:Mtf1	11.5dpc	Mtf1	wholemount	ICR
TS19	EMAGE:28766	only anatomy term annotation	embrys	in situ	EMBRYS:Mxi1	11.5dpc	Mxi1	wholemount	ICR
TS19	EMAGE:28767	only anatomy term annotation	embrys	in situ	EMBRYS:Myb	11.5dpc	Myb	wholemount	ICR
TS19	EMAGE:28768	only anatomy term annotation	embrys	in situ	EMBRYS:Myc	11.5dpc	Myc	wholemount	ICR
TS19	EMAGE:28769	only anatomy term annotation	embrys	in situ	EMBRYS:Mycbp	11.5dpc	Mycbp	wholemount	ICR
TS17	EMAGE:2877	wholemount spatial annotation	emage	in situ	MGI:3507091	10.5 dpc	Ascl2	wholemount	C57BL
TS19	EMAGE:28770	only anatomy term annotation	embrys	in situ	EMBRYS:Mycs	11.5dpc	Mycs	wholemount	ICR
TS19	EMAGE:28771	only anatomy term annotation	embrys	in situ	EMBRYS:Myef2	11.5dpc	Myef2	wholemount	ICR
TS19	EMAGE:28772	only anatomy term annotation	embrys	in situ	EMBRYS:Myf5	11.5dpc	Myf5	wholemount	ICR
TS19	EMAGE:28773	only anatomy term annotation	embrys	in situ	EMBRYS:Myf6	11.5dpc	Myf6	wholemount	ICR
TS19	EMAGE:28774	only anatomy term annotation	embrys	in situ	EMBRYS:Mynn	11.5dpc	Mynn	wholemount	ICR
TS19	EMAGE:28775	only anatomy term annotation	embrys	in situ	EMBRYS:Myocd	11.5dpc	Myocd	wholemount	ICR
TS19	EMAGE:28753	only anatomy term annotation	embrys	in situ	EMBRYS:Mapk1	11.5dpc	Mapk1	wholemount	ICR
TS19	EMAGE:28754	only anatomy term annotation	embrys	in situ	EMBRYS:Mapk8	11.5dpc	Mapk8	wholemount	ICR
TS19	EMAGE:28755	only anatomy term annotation	embrys	in situ	EMBRYS:Mbd2	11.5dpc	Mbd2	wholemount	ICR
TS19	EMAGE:28756	only anatomy term annotation	embrys	in situ	EMBRYS:Mbd3l1	11.5dpc	Mbd3l1	wholemount	ICR
TS19	EMAGE:28757	only anatomy term annotation	embrys	in situ	EMBRYS:Mef2a	11.5dpc	Mef2a	wholemount	ICR
TS19	EMAGE:28780	only anatomy term annotation	embrys	in situ	EMBRYS:Naca	11.5dpc	Naca	wholemount	ICR
TS19	EMAGE:28781	only anatomy term annotation	embrys	in situ	EMBRYS:Ncoa3	11.5dpc	Ncoa3	wholemount	ICR
TS19	EMAGE:28782	only anatomy term annotation	embrys	in situ	EMBRYS:Neurod1	11.5dpc	Neurod1	wholemount	ICR
TS19	EMAGE:28783	only anatomy term annotation	embrys	in situ	EMBRYS:Neurod2	11.5dpc	Neurod2	wholemount	ICR
TS19	EMAGE:28784	only anatomy term annotation	embrys	in situ	EMBRYS:Neurod4	11.5dpc	Neurod4	wholemount	ICR
TS19	EMAGE:28785	only anatomy term annotation	embrys	in situ	EMBRYS:Neurog3	11.5dpc	Neurog3	wholemount	ICR
TS19	EMAGE:28786	only anatomy term annotation	embrys	in situ	EMBRYS:Nfatc2ip	11.5dpc	Nfatc2ip	wholemount	ICR
TS19	EMAGE:28787	only anatomy term annotation	embrys	in situ	EMBRYS:Nfe2l1	11.5dpc	Nfe2l1	wholemount	ICR
TS19	EMAGE:28788	only anatomy term annotation	embrys	in situ	EMBRYS:Nfe2l2	11.5dpc	Nfe2l2	wholemount	ICR
TS19	EMAGE:28789	only anatomy term annotation	embrys	in situ	EMBRYS:Nfia	11.5dpc	Nfia	wholemount	ICR
TS17	EMAGE:2879	wholemount spatial annotation	emage	in situ	MGI:3507092	10.5 dpc	St6gal2	wholemount	C57BL
TS19	EMAGE:28790	only anatomy term annotation	embrys	in situ	EMBRYS:Nfic	11.5dpc	Nfic	wholemount	ICR
TS19	EMAGE:28791	only anatomy term annotation	embrys	in situ	EMBRYS:Nfkb2	11.5dpc	Nfkb2	wholemount	ICR
TS19	EMAGE:28792	only anatomy term annotation	embrys	in situ	EMBRYS:Nfkbie	11.5dpc	Nfkbie	wholemount	ICR
TS19	EMAGE:28793	only anatomy term annotation	embrys	in situ	EMBRYS:Nfkbil1	11.5dpc	Nfkbil1	wholemount	ICR
TS19	EMAGE:28794	only anatomy term annotation	embrys	in situ	EMBRYS:Nfkbiz	11.5dpc	Nfkbiz	wholemount	ICR
TS19	EMAGE:28795	only anatomy term annotation	embrys	in situ	EMBRYS:Nfx1	11.5dpc	Nfx1	wholemount	ICR
